ID DGE,Nombre Playa o ZBM,Municipio,Isla,Provincia,Clasificación,Grado de Protección,Afluencia maxima anual,Riesgo,Playa o ZBM,ID MAPAMA,Nombre MAPAMA,ID Pilotaje Litoral,Nombre Pilotaje Litoral,Bandera azul,Acceso PMR,Ducha adaptada,Aseo adaptado,Baño asistido,Sombra PMR,Aparcamientos,Aseo,Lavapies,Duchas,Alquiler de sombrillas,Alquiler de hamacas,Alquiler nautico,Area Infantil,Area Deportiva,Nombre Servicio Socorrismo,Longitud (m),Anchura (m),Composición,Color,Condiciones de baño,Condiciones de entorno,Condiciones de acceso,Carga poblacional,Latitud (º),Longitud (º),PSS Registrado DGSE,PSS Nº Registro,PSS Fecha Registro,Fecha de última actualización
101000100,Caleta de Fuste,Antigua,Fuerteventura,Las Palmas,Libre,Moderado,Media,Bajo,Playa,2958,Caleta de Fuste,20001,PLAYA EL CASTILLO / CALETA DE FUSTE,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,SECAPLA (SERVICIO CANARIO EN PLAYAS),600,143,Arena,Dorada,Aguas tranquilas / Ventosa,Urbana,A pie fácil / Coche,27396,"28°23'43.99924200""N","13°51'28.44354912""W",Si,0019-101000100,7/10/2020,7/12/2023
101000200,El Muellito,Antigua,Fuerteventura,Las Palmas,Libre,Bajo,Baja,Bajo,Playa,2959,El Muellito,20003,PLAYA EL MUELLITO / SALINAS,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,ANJOCA ,180,17,Callaos / Arena,Dorada,Aguas tranquilas,Semiurbana,A pie fácil / Coche,27396,"28°21'56.84131232""N","13°52'16.33952685""W",Si,,1/1/2020,7/12/2023
101000300,Pozo Negro,Antigua,Fuerteventura,Las Palmas,Libre,Bajo,Baja,Bajo,Playa,2960,Pozo Negro,20004,PLAYA POZO NEGRO,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,310,12,Callaos / Arena,Oscura,Oleaje moderado / Ventosa,Semiurbana,A pie fácil / Coche,27396,"28°19'25.03355867""N","13°53'43.87747211""W",Si,,1/1/2020,7/12/2023
101000400,Playa de Las Marismas-La Guirra,Antigua,Fuerteventura,Las Palmas,Libre,Moderado,Media,Bajo,Playa,,,20002,PLAYA DE LAS MARISMAS,No,No,No,No,No,No,Si,Si,No,No,Si,Si,Si,No,Si,,852,65,Arena,Dorada,Aguas tranquilas,Urbana,A pie fácil / Coche,27396,"28°23'13.75170891""N","13°51'45.43569213""W",Si,0020-101000400 ,7/10/2020,7/12/2023
102004100,Playa del Valle/Aguas Verdes,Betancuria,Fuerteventura,Las Palmas,Peligrosa,Moderado,Media,Medio,Playa,203541,Playa del Valle,20078,PLAYA DEL VALLE / AGUAS VERDES,No,No,null,null,null,null,No,No,No,No,No,No,No,No,No,,200,50,Callaos / Arena,Oscura,Oleaje fuerte / Ventosa,Semiurbana,Coche,<5.000,"28°29'06.59897511""N","14°05'40.93026419""W",No,,,7/12/2023
103006100,Corralejo,La Oliva,Fuerteventura,Las Palmas,Libre,Bajo,Baja,Bajo,Playa,2961,Corralejo,20115,PLAYA CORRALEJO,No,No,No,No,No,No,Si,No,No,Si,No,No,No,No,No,,195,25,Arena,Dorada,Aguas tranquilas / Ventosa,Urbana,A pie fácil / Coche,<5.000,"28°44'19.02187832""N","13°52'02.75319264""W",Si,0098-103006100,2/10/2020,7/12/2023
103006200,La Barra,La Oliva,Fuerteventura,Las Palmas,Libre,Bajo,Media,Bajo,Playa,2962,La Barra,20096,PLAYA LA BARRA,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,60,20,Arena,Blanca,Aguas tranquilas / Ventosa,Aislada,A pie fácil,<5.000,"28°41'54.68920818""N","14°00'59.83191116""W",No,,,7/12/2023
103006300,El Islote,La Oliva,Fuerteventura,Las Palmas,Libre,Bajo,Baja,Medio,Playa,2963,El Islote,20097,PLAYA EL ISLOTE,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,75,20,Arena,Blanca,Aguas tranquilas / Ventosa,Aislada,A pie fácil / Coche,<5.000,"28°42'05.80630366""N","14°01'04.01281155""W",No,,,7/12/2023
103006400,El Río,La Oliva,Fuerteventura,Las Palmas,Libre,Bajo,Baja,Bajo,Playa,2964,El Río,20098,CALETA DEL RIO,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,390,70,Arena,Blanca,Aguas tranquilas / Ventosa,Aislada,A pie fácil / Coche,<5.000,"28°42'21.22731010""N","14°00'53.78195119""W",No,,,7/12/2023
103006500,Los Charcos III,La Oliva,Fuerteventura,Las Palmas,Libre,Bajo,Baja,Bajo,Playa,2965,Los Charcos III,20100,PLAYA LOS CHARCOS III,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,210,50,Grava / Arena,Blanca,Aguas tranquilas / Ventosa,Aislada,A pie fácil / Coche,<5.000,"28°42'42.34902464""N","14°00'33.95548305""W",No,,,7/12/2023
103006600,Los Charcos II,La Oliva,Fuerteventura,Las Palmas,Libre,Bajo,Baja,Bajo,Playa,2966,Los Charcos II,20101,PLAYA LOS CHARCOS II,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,290,65,Grava / Arena,Blanca,Aguas tranquilas / Ventosa,Aislada,A pie fácil / Coche,<5.000,"28°42'40.75581691""N","14°00'24.67495447""W",No,,,7/12/2023
103006700,Los Charcos I,La Oliva,Fuerteventura,Las Palmas,Libre,Bajo,Baja,Bajo,Playa,2967,Los Charcos I,20102,PLAYA LOS CHARCOS I,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,100,70,Grava / Arena,Blanca,Aguas tranquilas / Ventosa,Aislada,A pie fácil / Coche,<5.000,"28°42'47.41135096""N","14°00'16.72617999""W",No,,,7/12/2023
103006800,El Charcón,La Oliva,Fuerteventura,Las Palmas,Libre,Bajo,Baja,Bajo,Playa,2968,El Charcón,20104,EL CHARCÓN,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,325,40,Roca / Grava / Arena,Blanca,Aguas tranquilas / Ventosa,Aislada,A pie fácil / Coche,<5.000,"28°43'28.51277466""N","13°59'16.76042523""W",No,,,7/12/2023
103006900,Caleta de Beatriz,La Oliva,Fuerteventura,Las Palmas,Libre,Bajo,Baja,Medio,Playa,2969,Beatriz,20105,CALETA DE BEATRIZ,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,200,18,Grava / Arena,Blanca,Aguas tranquilas / Ventosa,Aislada,A pie fácil / Coche,<5.000,"28°43'39.54658643""N","13°58'49.95537083""W",No,,,7/12/2023
103007000,Punta Blanca,La Oliva,Fuerteventura,Las Palmas,Libre,Bajo,Baja,Alto,Playa,2970,Punta Blanca,20106,PUNTA BLANCA,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,90,12,Callaos / Grava / Arena,Dorada,Aguas tranquilas / Ventosa,Aislada,A pie fácil / Coche,<5.000,"28°43'51.69585311""N","13°58'36.49729657""W",No,,,7/12/2023
103007100,Playa de Majanicho,La Oliva,Fuerteventura,Las Palmas,Libre,Bajo,Baja,Medio,Playa,2971,El Majanicho,20109,PLAYA EL MAJANICHO,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,150,20,Callaos / Arena,Dorada,Aguas tranquilas / Ventosa,Aislada,Coche,<5.000,"28°44'21.57658168""N","13°56'15.10435601""W",No,,,7/12/2023
103007200,La Goleta,La Oliva,Fuerteventura,Las Palmas,Libre,Bajo,Baja,Bajo,Playa,2972,La Goleta,20117,PLAYA LA GOLETA,No,Si,No,No,No,No,No,Si,No,Si,Si,Si,Si,No,Si,,150,30,Arena,Dorada,Aguas tranquilas / Ventosa,Urbana,A pie fácil / Coche,<5.000,"28°44'00.63801064""N","13°51'59.96405664""W",Si,0099-103007200,2/10/2020,7/12/2023
103007300,Punta Prieta,La Oliva,Fuerteventura,Las Palmas,Peligrosa,Bajo,Baja,Medio,Playa,2973,Punta Prieta,20119,PLAYA PUNTA PRIETA / LOS CORONELES,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,600,35,Callaos / Arena,Dorada,Oleaje moderado / Ventosa,Urbana,A pie fácil,<5.000,"28°43'48.33218197""N","13°51'21.55946172""W",No,,,7/12/2023
103007400,Puerto Remedios,La Oliva,Fuerteventura,Las Palmas,Peligrosa,Bajo,Baja,Bajo,Playa,2974,Puerto Remedios,20120,PLAYA PUERTO REMEDIOS,Si,No,No,No,No,No,No,No,No,No,Si,Si,No,No,No,,700,20,Callaos / Arena,Dorada,Oleaje moderado / Ventosa,Semiurbana,A pie fácil,<5.000,"28°43'37.99819113""N","13°50'57.56648828""W",No,,,7/12/2023
103007500,Medano,La Oliva,Fuerteventura,Las Palmas,Peligrosa,Bajo,Baja,Medio,Playa,2975,Medano,20121,PLAYA MEDANO,No,No,No,No,No,No,No,No,No,No,No,No,Si,No,No,,700,60,Arena,Dorada,Oleaje moderado / Ventosa,Aislada,A pie fácil,<5.000,"28°43'33.35688771""N","13°50'33.42007668""W",No,,,7/12/2023
103007600,El Pozo,La Oliva,Fuerteventura,Las Palmas,Peligrosa,Bajo,Baja,Medio,Playa,2976,El Pozo,20122,PLAYA EL POZO,No,No,No,No,No,No,No,No,No,No,Si,Si,Si,No,Si,,450,60,Arena,Dorada,Oleaje moderado / Ventosa,Aislada,A pie fácil,<5.000,"28°43'18.62818000""N","13°50'31.25974764""W",No,,,7/12/2023
103007700,El Viejo,La Oliva,Fuerteventura,Las Palmas,Peligrosa,Bajo,Baja,Medio,Playa,2977,El Viejo,20123,PLAYA EL VIEJO,No,No,No,No,No,No,Si,No,No,No,Si,Si,No,No,No,,1000,50,Arena,Dorada,Oleaje moderado / Ventosa,Aislada,A pie fácil,<5.000,"28°42'59.09179576""N","13°50'22.36209316""W",No,,,7/12/2023
103007800,Playa El Caserón,La Oliva,Fuerteventura,Las Palmas,Libre,Alto,Alta,Alto,Playa,2978,El Caserón,20131,PLAYA EL CASERON,No,No,null,null,null,null,Si,Si,No,Si,Si,Si,No,No,Si,Pro-activa Acuaticos SL,300,45,Arena,Dorada,Oleaje moderado / Ventosa,Semiurbana,A pie fácil,<5.000,"28°42'35.37199305""N","13°50'18.35131428""W",Si,0100-103007800,2/10/2020,7/12/2023
103007900,El Bajo Negro,La Oliva,Fuerteventura,Las Palmas,Libre,Alto,Alta,Alto,Playa,2979,El Bajo Negro,20132,PLAYA EL BAJO NEGRO,No,No,null,null,null,null,Si,No,No,No,Si,Si,No,No,No,Pro-activa Acuaticos SL,500,45,Arena,Dorada,Oleaje moderado / Ventosa,Semiurbana,A pie fácil,<5.000,"28°42'20.63165983""N","13°50'15.37003577""W",Si,0101-103007900,2/10/2020,7/12/2023
103008000,Larga,La Oliva,Fuerteventura,Las Palmas,Libre,Alto,Alta,Alto,Playa,2980,Larga,20130,PLAYA LARGA,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Pro-activa Acuaticos SL,800,55,Arena,Dorada,Oleaje moderado / Ventosa,Aislada,A pie fácil,<5.000,"28°42'10.72741244""N","13°50'11.53334004""W",No,,,7/12/2023
103008100,Los Martos,La Oliva,Fuerteventura,Las Palmas,Libre,Bajo,Baja,Alto,Playa,2981,Los Martos,20133,PLAYA LOS MARTOS,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,900,75,Arena,Dorada,Oleaje moderado / Ventosa,Aislada,A pie fácil,<5.000,"28°41'42.50421541""N","13°49'56.22583792""W",No,,,7/12/2023
103008200,Playa El Dormidero,La Oliva,Fuerteventura,Las Palmas,Libre,Moderado,Baja,Alto,Playa,2982,El Dormidero,20134,PLAYA EL DORMIDERO,No,No,No,No,No,No,No,No,No,No,Si,Si,No,No,No,,440,30,Arena,Dorada,Oleaje moderado / Ventosa,Aislada,A pie fácil,<5.000,"28°41'20.62285252""N","13°49'56.02810042""W",No,,,7/12/2023
103008300,Playa El Moro,La Oliva,Fuerteventura,Las Palmas,Peligrosa,Bajo,Baja,Medio,Playa,2983,El Moro,20135,PLAYA EL MORO,No,No,No,No,No,No,Si,No,No,No,No,No,No,No,No,Pro-activa Acuaticos SL,560,45,Arena,Dorada,Oleaje fuerte / Ventosa,Aislada,A pie fácil,<5.000,"28°41'01.91911380""N","13°49'56.79320194""W",Si,0102-103008300,2/10/2020,7/12/2023
103008400,El Rosadero,La Oliva,Fuerteventura,Las Palmas,Libre,Bajo,Baja,Alto,Playa,2984,El Rosadero,20136,PLAYA EL ROSADERO,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,450,60,Callaos / Arena,Dorada,Oleaje moderado / Ventosa,Aislada,A pie fácil,<5.000,"28°40'47.44035031""N","13°49'56.04730314""W",No,,,7/12/2023
103008500,Alzada,La Oliva,Fuerteventura,Las Palmas,Libre,Bajo,Baja,Alto,Playa,2985,Alzada,,,No,Si,No,No,No,No,No,No,No,No,No,No,No,No,No,,840,30,Arena,Dorada,Oleaje moderado / Ventosa,Aislada,A pie fácil,<5.000,"28°40'21.93023611""N","13°50'00.39641470""W",No,,,7/12/2023
103008600,Playa del Puertito,La Oliva,Fuerteventura,Las Palmas,Libre,Moderado,Media,Medio,Playa,2987,Calas del Puertito,25002,PLAYA CALAS DEL PUERTITO,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,140,20,Roca / Callaos / Arena,Dorada,Oleaje fuerte / Ventosa,Aislada,Barco,<5.000,"28°44'16.25137266""N","13°49'00.12769180""W",No,,,7/12/2023
103008700,El Aljibe ,La Oliva,Fuerteventura,Las Palmas,Peligrosa,Bajo,Baja,Alto,Playa,3008,El Aljibe ,20090,PLAYA DEL ALJIBE - CUEVA,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,1210,30,Grava / Arena,Dorada,Oleaje fuerte / Ventosa,Aislada,A pie fácil / Coche,<5.000,"28°39'57.87824330""N","14°00'43.06779322""W",No,,,7/12/2023
103008800,El Castillo,La Oliva,Fuerteventura,Las Palmas,Peligrosa,Moderado,Media,Medio,Playa,3009,El Castillo,20091,PLAYA EL CASTILLO,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Pro-activa Acuaticos SL,190,35,Callaos / Grava / Arena,Dorada,Oleaje fuerte / Ventosa,Aislada,A pie fácil / Coche,<5.000,"28°40'24.55769331""N","14°00'33.36804086""W",Si,0103-103008800,2/10/2020,7/12/2023
103008900,Marfolín o Los Laguitos,La Oliva,Fuerteventura,Las Palmas,Peligrosa,Bajo,Baja,Medio,Playa,3010,Marfolín,20093,PLAYA MARFOLÍN O LOS LAGULITOS,No,No,Si,Si,No,No,Si,Si,No,Si,No,No,No,No,No,,950,30,Arena,Dorada,Oleaje fuerte / Ventosa,Semiurbana,A pie fácil / Coche,<5.000,"28°41'19.27460514""N","14°00'46.05994950""W",Si,0104-103008900,2/10/2020,7/12/2023
103009000,Chica,La Oliva,Fuerteventura,Las Palmas,Libre,Bajo,Baja,Medio,Playa,3011,Chica,20094,PLAYA CHICA,Si,Si,No,No,No,No,Si,Si,No,Si,No,No,No,No,No,,200,60,Arena,Blanca,Aguas tranquilas / Ventosa,Aislada,A pie fácil / Coche,<5.000,"28°41'37.39466009""N","14°00'56.70581273""W",Si,0105-103009000,2/10/2020,7/12/2023
103009100,El Jablito,La Oliva,Fuerteventura,Las Palmas,Libre,Bajo,Baja,Bajo,Playa,203533,El Jablito,20138,PLAYA EL JABLITO,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,38,30,Arena,Blanca,Oleaje moderado / Ventosa,Semiurbana,A pie fácil,<5.000,"28°36'30.77557104""N","13°49'34.87389132""W",No,,,7/12/2023
103009200,Los Verilitos,La Oliva,Fuerteventura,Las Palmas,Libre,Bajo,Alta,Bajo,Playa,203534,Los Verilitos,20118,PLAYA LOS VERILITOS / CURVA DE ELENA,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,115,36,Arena,Dorada,Aguas tranquilas,Urbana,A pie fácil,<5.000,"28°43'51.41748936""N","13°51'43.65361658""W",No,,,7/12/2023
103009300,De Corralejo viejo,La Oliva,Fuerteventura,Las Palmas,Libre,Bajo,Baja,Bajo,Playa,203535,De Corralejo viejo,20116,PLAYA DE CORRALEJO VIEJO,Si,No,No,No,No,No,No,No,No,No,Si,Si,No,No,Si,,560,55,Arena,Dorada,Aguas tranquilas,Urbana,A pie fácil,<5.000,"28°44'07.36948094""N","13°52'02.47120473""W",Si,0106-103009300,2/10/2020,7/12/2023
103009400,Playa del Hierro,La Oliva,Fuerteventura,Las Palmas,Peligrosa,Bajo,Baja,Alto,Playa,203536,Playa del Hierro,20108,PLAYA DEL HIERRO,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,850,73,Roca / Arena,Blanca,Oleaje fuerte,Aislada,Coche,<5.000,"28°44'25.73811170""N","13°57'01.79093531""W",No,,,7/12/2023
103009500,Playa de los mallorquines,La Oliva,Fuerteventura,Las Palmas,Peligrosa,Bajo,Baja,Alto,Playa,203537,Playa de los mallorquines,20088,PLAYA DE LOS MALLORQUINES,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,210,43,Arena,Dorada,Oleaje fuerte / Ventosa,Aislada,Coche,<5.000,"28°39'00.02712411""N","14°01'08.98174814""W",No,,,7/12/2023
103009600,Playa del Aguila,La Oliva,Fuerteventura,Las Palmas,Peligrosa,Bajo,Baja,Alto,Playa,203538,Playa del Aguila,20087,PASO DE LA LAJA,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,600,24,Arena,Dorada,Oleaje fuerte / Ventosa,Aislada,Coche,<5.000,"28°38'50.52935810""N","14°01'17.81584939""W",No,,,7/12/2023
103009700,Playa de Esquinzo,La Oliva,Fuerteventura,Las Palmas,Peligrosa,Bajo,Baja,Alto,Playa,203539,Playa de Esquinzo,20086,PLAYA DE ESQUINZO,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,300,33,Arena,Dorada,Oleaje fuerte / Ventosa,Aislada,A pie difícil,<5.000,"28°38'08.56532623""N","14°01'33.68396102""W",No,,,7/12/2023
103009800,Playa del Tebeto,La Oliva,Fuerteventura,Las Palmas,Peligrosa,Bajo,Baja,Alto,Playa,203540,Playa del Tebeto,20085,PLAYA DE TEBETO,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,200,30,Arena,Dorada,Oleaje fuerte / Ventosa,Aislada,Coche,<5.000,"28°35'25.94509241""N","14°02'04.16017215""W",No,,,7/12/2023
103009900,Playa de La Concha,La Oliva,Fuerteventura,Las Palmas,Libre,null,null,,Playa,,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,Arena,Dorada,,,,<5.000,"28°44'31.099""N","13°49'36.934""W",null,,,20/3/2024
104015100,La Lajita,Pájara,Fuerteventura,Las Palmas,Libre,Bajo,Baja,Bajo,Playa,2988,La Lajita,20014,PLAYA DE LA LAJITA,No,No,Si,Si,null,null,Si,Si,Si,Si,No,No,No,No,No,,915,20,Callaos / Arena,Oscura,Aguas tranquilas / Ventosa,Semiurbana,A pie fácil / Coche,entre 20.000 y 100.000,"28°10'49.99553693""N","14°09'19.19373218""W",No,,,7/12/2023
104015200,Matas Blancas,Pájara,Fuerteventura,Las Palmas,Libre,Bajo,Baja,Medio,Playa,2989,Matas Blancas,20024,PLAYA MATAS BLANCAS,No,No,No,No,null,null,Si,Si,No,No,No,No,Si,No,Si,Víctor Sosa Asensio,1500,35,Callaos / Grava / Arena,Dorada,Aguas tranquilas / Ventosa,Aislada,A pie fácil / Coche,entre 20.000 y 100.000,"28°10'20.30761541""N","14°12'06.96638229""W",No,,,7/12/2023
104015300,Playa La Barca,Pájara,Fuerteventura,Las Palmas,Libre,Moderado,Media,Medio,Playa,,,20203,PLAYA LA BARCA,No,No,Si,Si,null,null,Si,Si,Si,Si,Si,Si,Si,No,Si,René Egli SA,3600,30,Arena,Dorada,Aguas tranquilas / Ventosa,Semiurbana,A pie fácil,entre 20.000 y 100.000,"28°07'27.85945078""N","14°15'03.08963572""W",No,,,7/12/2023
104015400,Esquinzo-Butihondo,Pájara,Fuerteventura,Las Palmas,Libre,Moderado,Media,Medio,Playa,2991,Butihondo,20031,PLAYA DE BUTIHONDO,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,Si,No,Si,Club Mistral Fuerteventura,1500,45,Arena,Dorada,Aguas tranquilas / Ventosa,Semiurbana,A pie fácil / Coche,entre 20.000 y 100.000,"28°04'19.39607232""N","14°18'12.41014510""W",Si,0022-104015400 ,15/4/2020,7/12/2023
104015500,Morro Jable,Pájara,Fuerteventura,Las Palmas,Libre,Moderado,Alta,Bajo,Playa,2992,Morro Jable,20199,PLAYA DE MORROJABLE,Si,Si,Si,Si,Si,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,Eulen SA,1200,45,Arena,Dorada,Aguas tranquilas / Ventosa,Urbana,A pie fácil / Coche,entre 20.000 y 100.000,"28°02'50.62570442""N","14°20'37.55165404""W",Si,0023-104015500 ,15/4/2020,7/12/2023
104015600,Las Coloradas,Pájara,Fuerteventura,Las Palmas,Uso Prohibido,null,,,Playa,2993,Las Coloradas,20034,PLAYA DE LAS COLORADAS,No,No,null,null,null,null,Si,No,No,No,No,No,No,No,No,,230,20,Callaos / Arena,Oscura,Oleaje moderado,Aislada,A pie fácil,entre 20.000 y 100.000,"28°03'16.39857388""N","14°22'10.39774459""W",No,,,7/12/2023
104015700,Playa Morro de Potala,Pájara,Fuerteventura,Las Palmas,Peligrosa,Bajo,Baja,Bajo,Playa,2994,,20052,PLAYA MORRO DE POTALA,No,No,No,No,null,null,Si,No,No,No,No,No,No,No,No,,300,25,Callaos / Grava / Arena,Dorada,Oleaje moderado / Ventosa,Aislada,A pie fácil / Coche,entre 20.000 y 100.000,"28°04'28.36262138""N","14°29'35.62704367""W",No,,,7/12/2023
104015800,Puertito de La Cruz,Pájara,Fuerteventura,Las Palmas,Peligrosa,Bajo,Baja,Bajo,Playa,2995,Morro de Potala,20053,PLAYA EL PUERTITO,No,No,No,No,null,null,Si,No,No,No,No,No,No,No,No,,545,20,Callaos / Grava / Arena,Dorada,Oleaje moderado / Ventosa,Semiurbana,A pie fácil / Coche,entre 20.000 y 100.000,"28°04'20.63779684""N","14°30'05.11494781""W",No,,,7/12/2023
104015900,Cofete,Pájara,Fuerteventura,Las Palmas,Peligrosa,Bajo,Baja,Medio,Playa,2996,El Cofete,20058,PLAYA DE COFETE,No,No,No,No,null,null,Si,No,No,No,No,No,No,No,No,,6100,50,Arena,Dorada,Oleaje fuerte / Ventosa,Aislada,Coche,entre 20.000 y 100.000,"28°06'45.20217653""N","14°23'08.36011196""W",No,,,7/12/2023
104016000,El Viejo Rey,Pájara,Fuerteventura,Las Palmas,Peligrosa,Moderado,Baja,Medio,Playa,2997,El Viejo Rey,20062,PLAYA DEL VIEJO REY,No,No,No,No,null,null,Si,No,No,No,No,No,No,No,No,Eulen SA,800,18,Arena,Dorada,Oleaje fuerte / Ventosa,Aislada,A pie fácil / Coche,entre 20.000 y 100.000,"28°12'43.59160034""N","14°13'33.63815938""W",No,,,7/12/2023
104016100,La Pared,Pájara,Fuerteventura,Las Palmas,Peligrosa,Bajo,Baja,Bajo,Playa,2998,La Pared,20063,PLAYA DE LA PARED,No,No,No,No,null,null,Si,No,No,No,No,No,No,No,Si,,250,18,Arena,Dorada,Oleaje fuerte / Ventosa,Aislada,A pie fácil,entre 20.000 y 100.000,"28°13'05.25219225""N","14°13'15.97543969""W",No,,,7/12/2023
104016200,Ugan,Pájara,Fuerteventura,Las Palmas,Peligrosa,Bajo,Baja,Bajo,Playa,2999,Ugan,20064,PLAYA DE UGÁN,No,No,No,No,null,null,Si,No,No,No,No,No,No,No,No,,300,30,Callaos / Grava / Arena,Oscura,Oleaje fuerte / Ventosa,Aislada,Coche,entre 20.000 y 100.000,"28°14'39.87575337""N","14°12'44.65175460""W",No,,,7/12/2023
104016300,La Solapa,Pájara,Fuerteventura,Las Palmas,Peligrosa,Bajo,Baja,Bajo,Playa,3000,La Solapa,20072,PLAYA LA SOLAPA,No,No,No,No,null,null,Si,No,No,No,No,No,No,No,No,,425,30,Arena,Oscura,Oleaje fuerte / Ventosa,Aislada,Coche,entre 20.000 y 100.000,"28°21'51.07795549""N","14°09'57.07682422""W",No,,,7/12/2023
104016400,Ajuy,Pájara,Fuerteventura,Las Palmas,Peligrosa,Moderado,Media,Bajo,Playa,3001,Ajuy,20074,PLAYA AJUY,No,No,No,Si,null,null,Si,Si,Si,Si,No,No,No,No,No,,270,35,Callaos / Grava / Arena,Oscura,Oleaje fuerte / Ventosa,Aislada,A pie fácil / Coche,entre 20.000 y 100.000,"28°23'57.13793652""N","14°09'22.83852226""W",No,,,7/12/2023
104016500,Tarajalejo  (Punta del Roquito),Pájara,Fuerteventura,Las Palmas,Libre,Bajo,Media,Bajo,Playa,3002,Tarajalejo,20190,PLAYA TARAJALEJO,No,No,null,null,null,null,Si,No,No,No,No,No,No,No,No,,1370,45,Callaos / Grava / Arena,Oscura,Aguas tranquilas / Ventosa,Semiurbana,A pie fácil / Coche,entre 20.000 y 100.000,"28°11'19.71468534""N","14°07'40.54201723""W",No,,,7/12/2023
104016600,Costa Calma,Pájara,Fuerteventura,Las Palmas,Libre,Moderado,Media,Medio,Playa,2990,Sotavento,20027,PLAYA DE COSTA CALMA,Si,Si,Si,Si,null,null,Si,Si,Si,Si,Si,Si,Si,Si,Si,Eulen SA,1800,30,Arena,Dorada,Aguas tranquilas / Ventosa,Semiurbana,A pie fácil / Coche,entre 20.000 y 100.000,"28°09'31.19606903""N","14°13'33.57828782""W",Si,0024-104016600 ,15/4/2020,7/12/2023
104016700,Playa del Matorral,Pájara,Fuerteventura,Las Palmas,Libre,Moderado,Media,Medio,Playa,2992,,20033,PLAYA DEL MATORRAL,Si,Si,Si,Si,Si,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,Eulen SA,3000,100,Arena,Dorada,Aguas tranquilas,Aislada,A pie fácil,entre 20.000 y 100.000,"28°02'47.32037841""N","14°19'44.21477413""W",Si,0025-104016700 ,15/4/2020,7/12/2023
104016800,Playa de Barlovento,Pájara,Fuerteventura,Las Palmas,Peligrosa,Bajo,Baja,Bajo,Playa,2996,,20059,PLAYA DE BARLOVENTO,No,No,null,null,null,null,No,No,No,No,No,No,No,No,No,,5700,50,Arena,Dorada,Oleaje fuerte / Ventosa,Aislada,A pie difícil,entre 20.000 y 100.000,"28°07'44.20280280""N","14°20'42.25348731""W",No,,,7/12/2023
104016900,Playa Roque del Moro,Pájara,Fuerteventura,Las Palmas,Peligrosa,Bajo,Baja,Medio,Playa,,,20057,PLAYA ROQUE DEL MORO,No,No,No,No,null,null,No,No,No,No,No,No,No,No,No,,1940,50,Arena,Dorada,Oleaje fuerte / Ventosa,Aislada,Coche,entre 20.000 y 100.000,"28°06'10.41547161""N","14°25'32.49398566""W",No,,,7/12/2023
104017000,Risco del Paso,Pájara,Fuerteventura,Las Palmas,Libre,Moderado,Media,Medio,Playa,,,20202,PLAYA DE RISCO DEL PASO,No,Si,null,null,null,null,Si,Si,Si,Si,No,No,Si,No,Si,Club Mistral Fuerteventura,1500,30,Arena,Dorada,Aguas tranquilas / Ventosa,Aislada,A pie fácil / Coche,entre 20.000 y 100.000,"28°06'40.78158632""N","14°15'48.23679866""W",No,,,7/12/2023
105024101,Playa Blanca Sector 1 - BIkini,Puerto del Rosario,Fuerteventura,Las Palmas,Peligrosa,Moderado,Media,Medio,Playa,3003,Blanca,20148,PLAYA BLANCA,Si,Si,Si,Si,No,Si,Si,Si,Si,Si,Si,Si,No,No,Si,Pro-activa Acuaticos SL,331,45,Arena,Dorada,Oleaje moderado / Ventosa,Semiurbana,A pie fácil / Coche,entre 20.000 y 100.000,"28°28'51.68855215""N","13°52'03.74985622""W",Si,105024100,30/10/2020,7/12/2023
